,lattitude,longitude,city,country,max_temperature,humidity,wind_speed,cloud_percentage
132,-24.25853320123388,-119.37409805786501,rikitea,pf,72.46,80,20.09,1
133,-24.979054076361997,-127.68225286444049,rikitea,pf,72.46,80,20.09,1
134,-24.982942619856725,-163.39661153099158,avarua,ck,73.4,88,4.7,69
135,-23.271456720914962,31.551433743397865,phalaborwa,za,62.6,93,10.29,100
136,-22.287399227437692,-46.83113792154319,espirito santo do pinhal,br,94.39,24,4.47,31
137,-20.067588889830343,162.4764134841763,poum,nc,71.13,71,23.2,0
138,-23.929362129105755,148.5630198859916,blackwater,au,64.98,77,10.16,0
139,-21.15077289482869,151.56986136095566,yeppoon,au,68.0,82,6.93,40
140,-22.444895428068406,56.987240408350175,saint-philippe,re,71.6,78,2.24,34
141,-24.633092667272876,137.0640694575585,alice springs,au,75.0,11,4.7,35
142,-22.41089903517632,-12.46953910048228,jamestown,sh,61.43,89,18.72,100
143,-15.90321837019933,-158.3186178287636,avarua,ck,73.4,88,4.7,69
144,-17.470891592644456,15.727201463890196,oshikango,na,91.4,15,2.24,54
145,-17.374638634445983,44.44842812574413,tsiroanomandidy,mg,76.55,34,6.51,15
146,-19.549272528190762,145.1296134676171,charters towers,au,62.33,91,8.95,52
147,-15.738971430240307,-128.66343471354233,rikitea,pf,72.46,80,20.09,1
148,-18.09826192548073,-85.25386283190072,pisco,pe,68.0,68,8.05,20
149,-16.874688009209667,-151.9621445035061,vaitape,pf,78.82,77,19.06,0
150,-17.71057498820308,171.64527437302547,isangel,vu,69.58,76,4.54,96
151,-17.982164104652337,131.2850881583425,kununurra,au,82.4,61,11.41,90
152,-17.825371038956348,10.103259979259235,namibe,ao,66.94,77,9.13,26
153,-15.767352580556167,-4.518005691653656,jamestown,sh,61.43,89,18.72,100
154,-19.109616645150204,-98.70137061723798,puerto ayora,ec,75.2,64,23.04,40
155,-18.209316877924643,-94.89462940683798,puerto ayora,ec,75.2,64,23.04,40
156,-19.132633414533885,-106.16271177135638,puerto ayora,ec,75.2,64,23.04,40
157,-18.53203966183239,138.55097704010348,mount isa,au,80.6,18,9.17,0
158,-16.50731315265645,162.95305924191553,poum,nc,71.13,71,23.2,0
159,-16.226189758728125,68.23179997179747,quatre cocos,mu,71.6,83,1.12,40
160,-18.046012739233284,20.25367565541609,rundu,na,81.03,32,3.96,88
161,-19.776843154799092,117.7596556734739,port hedland,au,75.2,64,12.75,43
162,-16.819876271972767,60.69091761757747,grand gaube,mu,71.01,76,5.46,2
163,-13.115786108082425,-152.8173377036411,faanui,pf,77.99,78,19.17,0
164,-10.89499397609935,69.47290946590343,hithadhoo,mv,84.0,71,8.39,58
165,-13.833750125735037,73.24070036546061,hithadhoo,mv,84.0,71,8.39,58
166,-13.190353335872981,111.79230730867329,boyolangu,id,76.08,90,4.88,79
167,-14.28434843920455,-98.07305204276778,puerto ayora,ec,75.2,64,23.04,40
168,-13.549536055740512,-57.79317579559148,arenapolis,br,94.48,31,1.99,69
169,-10.79721350548661,-33.493990475050964,maragogi,br,80.38,66,12.37,97
170,-14.695061552687257,-124.22215064162883,rikitea,pf,72.46,80,20.09,1
171,-13.021395680556218,20.022112728174477,luena,ao,72.59,60,1.52,70
172,-14.450805110949306,-64.09733152928231,trinidad,bo,95.0,50,13.87,20
173,-14.251362012796575,55.27244096268859,antalaha,mg,70.77,87,3.36,95
174,-11.63308510021174,67.82669931639933,hithadhoo,mv,84.0,71,8.39,58
175,-13.65851972008831,138.16608491210553,alyangula,au,68.0,94,12.12,1
176,-12.065208128675977,114.82323882182709,denpasar,id,80.6,100,11.41,20
177,-13.393366820501795,32.195145578293904,chipata,zm,79.03,28,9.1,13
178,-11.621144343763426,81.08841425766718,hithadhoo,mv,84.0,71,8.39,58
179,-13.281474604003328,35.789893766441935,lichinga,mz,78.8,34,9.17,87
180,-11.632397384940823,86.94073720616376,padang,id,76.21,86,4.63,100
181,-10.584745698924337,83.63062344656362,hithadhoo,mv,84.0,71,8.39,58
182,-12.437634973672328,116.91419559670618,praya,id,75.2,94,6.93,20
183,-7.111394053949446,-21.774994811389064,georgetown,sh,73.98,77,15.39,54
184,-8.793901273019591,-10.37022301210925,georgetown,sh,73.98,77,15.39,54
185,-7.934258121021287,58.30694149291327,victoria,sc,82.4,78,9.17,20
186,-9.673895562926667,160.14634212299597,honiara,sb,71.6,100,3.36,40
187,-6.4927559085924935,-17.311730582914578,georgetown,sh,73.98,77,15.39,54
188,-6.747578173335775,131.08309029419542,tual,id,79.65,80,20.98,94
189,-8.241841081218517,97.03792225580492,bengkulu,id,75.15,87,4.18,84
190,-7.779615882432742,2.3541896021975504,gamba,ga,76.93,81,8.25,68
191,-7.000053869936185,-141.12500590613658,atuona,pf,78.17,76,23.24,4
192,-8.750292150774962,-39.95365442380174,santa maria da boa vista,br,96.58,16,14.18,75
193,-6.242586890885937,-15.814863829357876,georgetown,sh,73.98,77,15.39,54
194,-6.100830822699654,45.73839409730127,mitsamiouli,km,77.97,80,2.39,55
195,-6.243816919501722,71.930832216054,hithadhoo,mv,84.0,71,8.39,58
196,-7.244206123053779,102.5854204933521,pringsewu,id,74.35,89,5.26,97
197,-9.753330499216823,95.27072851792616,bengkulu,id,75.15,87,4.18,84
198,-6.379992094419175,-75.69004662532589,chazuta,pe,87.8,58,3.36,40
199,-9.663845472654991,134.4090998250502,maningrida,au,72.63,76,9.84,0
200,-3.113149326607481,-35.071738474015746,touros,br,86.0,55,16.11,75
201,-4.650432588003163,-150.41430618946168,faanui,pf,77.99,78,19.17,0
202,-0.514347004472838,11.220755194589913,ndjole,ga,81.5,71,3.51,47
203,-4.724167374246282,112.39707261620788,paciran,id,80.01,81,7.83,6
204,-2.5681753934195433,-115.84439468168777,atuona,pf,78.17,76,23.24,4
205,-2.3257160622340827,-106.60397368171463,puerto ayora,ec,75.2,64,23.04,40
206,-4.454515312719592,37.11219511581598,naberera,tz,70.48,57,14.47,48
207,-2.684772496952145,-82.83272563119226,salinas,ec,73.4,78,9.17,90
208,-2.865221858589642,63.90714522552446,victoria,sc,82.4,78,9.17,20
209,-4.21450549286387,-47.478836872702914,paragominas,br,95.11,34,6.11,65
210,-3.061057786875981,15.544472359669328,djambala,cg,75.45,72,1.86,76
211,-4.562340412000526,93.3927147552381,padang,id,76.21,86,4.63,100
212,-4.832324769077311,-149.5260825514763,atuona,pf,78.17,76,23.24,4
213,-1.4092233334124775,146.28814383703502,lorengau,pg,78.75,82,8.99,92
214,-0.26111260447131635,-8.912783862164616,harper,lr,78.67,85,11.12,100
215,-3.9938033496283776,-39.563190686592264,itapage,br,98.1,22,11.05,68
216,-1.438337898175778,-49.69839907023629,muana,br,93.29,45,5.21,97
217,-2.6233453411056207,-6.086892999110404,tabou,ci,78.42,86,10.6,99
218,-1.9924562048901162,-136.76610504707733,atuona,pf,78.17,76,23.24,4
219,4.3443206781355865,94.42457563302827,banda aceh,id,81.19,70,12.66,100
220,3.7651161142034444,160.0272424326389,namatanai,pg,77.02,79,4.81,98
221,0.049053578266183284,36.76719864623496,nanyuki,ke,63.39,61,5.93,26
222,2.5303413800290353,145.56836291392943,lorengau,pg,78.75,82,8.99,92
223,2.667385009864434,-141.0709543200284,atuona,pf,78.17,76,23.24,4
224,0.11349033337370085,-100.04369229446608,puerto ayora,ec,75.2,64,23.04,40
225,1.133572516005314,-153.3273220896551,faanui,pf,77.99,78,19.17,0
226,3.284321105939184,-52.55688386820725,camopi,gf,98.29,29,4.21,30
227,4.827806168471279,-47.80253234256304,amapa,br,97.36,31,4.74,65
228,0.15291647674991415,152.22681777849795,kavieng,pg,80.51,78,6.4,99
229,4.909280540572532,131.76736801368304,kloulklubed,pw,75.2,94,10.49,75
230,2.3941213674832977,-34.606524852657174,jardim,br,106.02,14,8.86,12
